Program_studi,Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Probabilitas_dropout,Level_risiko
Veterinary Nursing,39,9085,1,133.1,138.3,1,1,0,1,0,25,6,6,0,0.0,6,6,0,0.0,0.9999,Tinggi
Informatics Engineering,17,9119,1,127.0,120.4,1,1,0,1,0,18,5,12,0,0.0,5,8,0,0.0,0.9999,Tinggi
Informatics Engineering,43,9119,1,130.0,128.0,0,1,0,1,0,27,5,5,0,0.0,5,7,0,0.0,0.9998,Tinggi
Management,51,9147,1,99.0,99.7,1,1,0,0,0,22,5,8,0,0.0,5,7,0,0.0,0.9997,Tinggi
Veterinary Nursing,39,9085,1,140.0,129.3,1,1,1,0,0,28,6,17,0,0.0,6,6,0,0.0,0.9992,Tinggi
Nursing,17,9500,1,138.0,133.0,1,0,1,0,0,18,8,8,0,0.0,8,8,0,0.0,0.999,Tinggi
Agronomy,44,9003,1,140.0,140.0,1,1,1,1,0,26,6,6,0,0.0,6,7,0,0.0,0.9987,Tinggi
Management,17,9147,1,139.0,143.6,1,1,1,1,0,18,5,9,0,0.0,5,5,0,0.0,0.9982,Tinggi
Informatics Engineering,1,9119,1,140.0,166.0,1,1,1,1,0,20,5,7,0,0.0,5,5,0,0.0,0.9982,Tinggi
Informatics Engineering,43,9119,1,115.0,112.2,1,1,1,1,0,18,5,9,2,10.0,5,9,0,0.0,0.9982,Tinggi
Nursing,43,9500,1,136.0,124.1,0,0,1,1,1,21,8,8,0,0.0,8,8,0,0.0,0.998,Tinggi
Agronomy,44,9003,1,120.0,120.0,0,0,1,1,0,19,6,17,1,11.0,6,19,0,0.0,0.9974,Tinggi
Oral Hygiene,39,9556,1,110.0,112.8,0,0,1,0,1,26,7,7,0,0.0,8,8,0,0.0,0.9974,Tinggi
Nursing,18,9500,1,128.0,125.8,0,0,1,0,1,20,8,8,0,0.0,8,8,0,0.0,0.9969,Tinggi
Journalism and Communication,1,9773,1,127.0,123.2,1,0,1,0,0,18,6,12,1,11.0,6,12,0,0.0,0.9965,Tinggi
Communication Design,17,9070,1,125.0,122.6,1,0,1,1,0,22,6,6,1,11.0,6,6,0,0.0,0.9965,Tinggi
Agronomy,39,9003,1,133.1,130.0,0,1,1,0,1,30,6,6,0,0.0,6,6,0,0.0,0.9961,Tinggi
Communication Design,43,9070,1,116.0,120.9,0,0,1,1,0,24,6,6,0,0.0,6,6,0,0.0,0.9961,Tinggi
Agronomy,39,9003,1,160.0,140.0,0,0,1,1,0,27,6,6,0,0.0,6,6,0,0.0,0.996,Tinggi
Nursing,1,9500,1,103.0,108.3,0,0,1,0,1,20,7,14,0,0.0,7,15,0,0.0,0.9958,Tinggi
Equinculture,44,9130,1,140.0,140.0,1,1,0,0,0,20,6,11,3,12.0,6,11,2,11.0,0.9954,Tinggi
Informatics Engineering,1,9119,1,140.0,125.7,1,0,1,1,0,18,5,5,0,0.0,5,5,0,0.0,0.995,Tinggi
Advertising and Marketing Management,17,9670,1,109.0,108.0,0,0,1,1,0,19,5,10,0,0.0,5,5,0,0.0,0.9948,Tinggi
Agronomy,44,9003,1,120.0,120.0,0,0,1,1,0,23,6,6,0,0.0,6,8,0,0.0,0.9948,Tinggi
Management (evening),39,9991,0,130.0,127.6,0,0,1,1,0,29,5,5,0,0.0,5,5,0,0.0,0.9947,Tinggi
Social Service,39,9238,1,133.1,130.0,1,0,1,0,0,31,6,11,0,0.0,5,10,0,0.0,0.9945,Tinggi
Management (evening),1,9991,0,131.0,118.4,1,0,1,0,0,20,5,10,0,0.0,5,10,0,0.0,0.9944,Tinggi
Nursing,39,9500,1,100.0,130.0,0,0,1,1,1,33,8,16,1,10.0,8,16,1,10.0,0.994,Tinggi
Informatics Engineering,17,9119,1,120.0,116.9,1,1,0,1,0,18,5,10,3,12.0,5,8,3,10.333333333333334,0.994,Tinggi
Informatics Engineering,39,9119,1,139.0,110.3,0,1,1,1,0,24,5,12,1,10.0,5,11,1,11.0,0.9936,Tinggi
Management,17,9147,1,162.0,138.6,1,0,1,0,0,19,5,10,1,11.0,5,13,0,0.0,0.9935,Tinggi
Management,17,9147,1,148.0,134.0,0,0,1,1,0,18,5,9,0,0.0,5,5,0,0.0,0.9932,Tinggi
Veterinary Nursing,1,9085,1,133.1,105.0,1,0,1,1,0,21,6,15,3,11.25,6,9,0,0.0,0.9931,Tinggi
Management (evening),39,9991,0,140.0,130.0,0,0,1,0,0,34,5,5,0,0.0,5,5,0,0.0,0.9928,Tinggi
Journalism and Communication,17,9773,1,129.0,132.5,1,0,1,1,0,21,6,7,0,0.0,6,11,1,10.0,0.9923,Tinggi
Management,1,9147,1,124.0,116.7,1,0,1,1,0,19,5,6,0,0.0,5,6,0,0.0,0.9919,Tinggi
Oral Hygiene,15,9556,1,137.0,137.0,0,1,1,0,0,19,7,11,0,0.0,7,11,2,11.666666666666666,0.9916,Tinggi
Advertising and Marketing Management,53,9670,1,140.0,140.0,1,1,1,0,0,21,6,12,1,12.0,6,11,1,11.0,0.9916,Tinggi
Nursing,39,9500,1,133.1,100.0,0,0,1,1,0,33,7,7,5,13.06,7,9,0,0.0,0.9913,Tinggi
Veterinary Nursing,44,9085,1,140.0,140.0,0,1,0,0,0,24,6,11,4,12.5,6,18,2,11.5,0.9912,Tinggi
Management,43,9147,1,127.0,124.2,1,0,1,1,0,23,5,6,1,10.0,5,5,0,0.0,0.9909,Tinggi
Management,51,9147,1,116.0,115.2,0,1,1,1,0,32,7,16,3,12.0,8,10,3,10.333333333333334,0.9897,Tinggi
Management,15,9147,1,133.1,100.0,0,1,1,1,0,40,5,10,1,11.0,5,10,1,10.0,0.9896,Tinggi
Social Service,1,9238,1,145.0,121.4,0,0,1,0,0,20,6,13,0,0.0,5,11,0,0.0,0.9896,Tinggi
Informatics Engineering,17,9119,1,127.0,115.8,0,0,1,1,0,20,5,10,4,11.5,5,11,0,0.0,0.9892,Tinggi
