Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade
39,9670,1,120.0,140.4,0,0,1,0,0,31,6,13,5,11.4,6,14,4,11.75
1,9147,1,121.0,112.6,1,0,1,0,1,20,5,7,5,14.2,5,7,5,13.285714285714286
39,9085,1,133.1,148.2,1,1,1,0,0,27,6,11,6,12.125,6,16,5,12.0
1,9556,1,142.0,130.5,1,0,1,0,1,18,7,8,7,12.214285714285714,8,8,8,14.0625
17,9773,1,117.0,120.5,1,0,1,1,0,19,6,12,0,0.0,6,0,0,0.0
1,9070,1,121.0,116.1,1,0,1,0,0,22,6,7,6,11.666666666666666,6,7,5,13.2
1,9670,1,131.0,127.2,0,0,1,0,1,18,5,7,3,12.666666666666666,5,5,4,12.5
1,9238,1,138.0,135.9,1,0,1,0,0,19,6,11,5,11.6,6,11,6,11.666666666666666
1,9500,1,141.0,136.3,1,0,1,1,1,18,7,7,6,13.516666666666666,7,7,6,13.516666666666666
1,9119,1,149.0,141.0,0,0,1,1,0,18,5,9,2,11.666666666666666,5,9,2,12.5
53,9003,1,150.0,150.0,0,0,1,0,1,23,12,14,12,14.384615384615383,10,12,10,13.3
44,9119,1,140.0,140.0,1,0,1,1,0,22,5,9,0,0.0,5,6,2,11.666666666666666
1,9238,1,127.0,120.4,1,0,1,0,1,19,6,6,6,13.5,6,7,6,13.428571428571429
1,9773,1,126.0,119.0,0,0,1,0,1,18,6,6,6,12.166666666666666,6,7,6,12.142857142857142
7,9254,1,110.0,110.0,0,0,1,1,0,35,6,7,0,0.0,6,6,0,0.0
39,9991,0,130.0,130.1,0,0,1,0,0,25,5,8,3,11.0,5,8,3,11.25
17,9670,1,126.0,119.4,1,0,1,0,1,18,6,6,6,14.0,6,9,5,13.8
39,9254,1,130.0,125.0,0,0,1,0,0,41,6,8,6,12.285714285714286,6,10,5,13.0
17,9500,1,146.0,135.8,1,0,1,0,0,18,7,7,6,13.983333333333334,7,7,6,13.983333333333334
17,9254,1,130.0,130.0,1,0,1,1,0,18,6,7,4,11.0,6,7,3,11.25
1,9556,1,144.0,139.8,0,1,1,1,0,24,7,7,7,12.271428571428572,8,10,7,13.657142857142857
39,9119,1,133.1,118.0,0,0,0,1,0,33,5,11,0,0.0,5,5,0,0.0
42,9773,1,120.0,122.0,1,0,1,0,0,34,10,11,10,12.2,10,12,9,12.333333333333334
17,9670,1,118.0,113.5,1,0,1,0,1,19,6,9,5,13.5,6,6,6,14.0
1,9500,1,139.0,128.5,1,0,1,0,0,19,8,10,6,13.066666666666668,8,10,6,13.066666666666668
44,9085,1,140.0,140.0,0,0,1,0,0,22,6,9,6,13.333333333333334,6,9,4,11.5
1,9254,1,115.0,117.5,1,0,1,0,0,18,6,9,4,11.25,6,13,2,12.5
1,9238,1,125.0,118.7,0,0,1,1,0,20,6,12,4,11.75,6,13,3,11.333333333333334
39,9991,0,133.1,154.4,0,0,1,1,0,27,5,0,0,0.0,5,0,0,0.0
18,9853,1,117.0,113.5,1,0,1,0,0,19,7,10,6,12.166666666666666,7,9,6,13.166666666666666
